cusip,description,instrument_type,currency
SK8BG6AUK,Alderton Industries Inc,EQUITY,USD
XEFPHX78C,Brightmoor Capital Inc,EQUITY,USD
CH4NMA8ZR,Calderwood Holdings Inc,EQUITY,USD
FAW0KMWZU,Drayfield Technologies Inc,EQUITY,USD
Z0R466FVF,Eastvale Resources Inc,EQUITY,USD
09VTGFRAV,Fernhill Industries Inc,EQUITY,USD
E61JJGRZ7,Granleigh Capital Inc,EQUITY,USD
C86WNVR3M,Harrowgate Holdings Inc,EQUITY,USD
MNVM7FVB2,Inverness Technologies Inc,EQUITY,USD
0Q8GDVMEQ,Jubilee Resources Inc,EQUITY,USD
1NVLNEW07,Kestrelton Industries Inc,EQUITY,USD
YVMUY58NS,Lanchester Capital Inc,EQUITY,USD
8M527WR7E,Marbridge Holdings Inc,EQUITY,USD
YQ4BUB7L1,Northwick Technologies Inc,EQUITY,USD
ACM1GC04C,Oakhaven Resources Inc,EQUITY,USD
SDJZCDBF8,Pemberly Industries Inc,EQUITY,EUR
K0V54WX3P,Quarrydon Capital Inc,EQUITY,USD
NLTRCNDHH,Ravensmoor Holdings Inc,EQUITY,GBP
FSB9Q2VDJ,Stonebridge Technologies Inc,EQUITY,USD
5JZSGW20N,Thornbury Resources Inc,EQUITY,USD
PNEES1FDX,Underhill Industries Inc,EQUITY,EUR
G447UGBZ4,Vantagepoint Capital Inc,EQUITY,USD
VK5DUGFHG,Westmere Holdings Inc,EQUITY,USD
3QG0WH5N5,Yarrowfield Technologies Inc,EQUITY,USD
UVR2S2HFC,Alderton Resources Inc,EQUITY,USD
KRUYT8C19,Brightmoor Industries Inc,EQUITY,USD
L6VXM1F7Y,Calderwood Capital Inc,EQUITY,GBP
JTDC7TA0G,Drayfield Holdings Inc,EQUITY,EUR
GC7EX956N,Eastvale Technologies Inc,EQUITY,USD
M96SG7JWE,Fernhill Resources Inc,EQUITY,GBP
NFQ5A7W1D,Granleigh Industries Inc,EQUITY,USD
E2157F7P8,Harrowgate Capital Inc,EQUITY,USD
Y5J1UGRSL,Inverness Holdings Inc,EQUITY,GBP
QLS8B738D,Jubilee Technologies Inc,EQUITY,USD
5NVG6GD2C,Kestrelton Resources Inc,EQUITY,USD
HY9MEV8WK,Lanchester Industries Inc,EQUITY,USD
APQBB7ESJ,Marbridge Capital Inc,EQUITY,USD
P9XNV8TH0,Northwick Holdings Inc,EQUITY,USD
MUP8G2E6G,Oakhaven Technologies Inc,EQUITY,USD
4HL56YC3M,Pemberly Resources Inc,EQUITY,GBP
UTATS6QJX,Quarrydon Industries Inc,EQUITY,USD
H157LESJQ,Ravensmoor Capital Inc,EQUITY,GBP
SMVLR7R18,Stonebridge Holdings Inc,EQUITY,USD
VRDCQRB4Y,Thornbury Technologies Inc,EQUITY,GBP
FF4ZF4A1H,Underhill Resources Inc,EQUITY,USD
2PGN6TMSG,Vantagepoint Industries Inc,EQUITY,USD
JTA3K2QUF,Westmere Capital Inc,EQUITY,USD
EZ83E2SVW,Yarrowfield Holdings Inc,EQUITY,USD
2QSL42N32,Alderton Technologies Inc,EQUITY,GBP
F1TJ9BKS7,Brightmoor Resources Inc,EQUITY,USD
